model_name,augmented,frame,loss,accuracy
0529_model11,A,1,0.5548771023750305,0.8991130590438843
0529_model11,A,5,0.5934205651283264,0.9510022401809692
0529_model11,A,7,0.964956284,0.9430803656578064
0529_model11,A,3,0.6750054359436035,0.9411110877990724
0529_model11,A,11,0.8224656581878662,0.9293721914291382
0529_model11,A,9,0.8322941064834595,0.9328858852386476
0529_model11,NA,1,0.5333160161972046,0.9423503279685974
0529_model11,NA,5,0.6805589199066162,0.948775053
0529_model11,NA,7,0.8828626275062561,0.9330357313156128
0529_model11,NA,3,0.4259542226791382,0.949999988
0529_model11,NA,11,0.843459427,0.9136771559715272
0529_model11,NA,9,0.9372188448905944,0.918344498
0529_model12,A,1,0.4803496301174164,0.9401330351829528
0529_model12,A,5,0.6939463019371033,0.9443207383155824
0529_model12,A,7,0.8596914410591125,0.9241071343421936
0529_model12,A,3,0.5334459543228149,0.9399999976158142
0529_model12,A,11,0.948346734,0.9282511472702026
0529_model12,A,9,0.9024814367294312,0.926174521
0529_model12,NA,1,0.444393903,0.9379157423973083
0529_model12,NA,5,0.5000708699226379,0.945434272
0529_model12,NA,7,0.4497069716453552,0.9419642686843872
0529_model12,NA,3,0.4401751756668091,0.952222228
0529_model12,NA,11,2.2680470943450928,0.7668161392211914
0529_model12,NA,9,0.5710218548774719,0.9194630980491638
0529_model13,A,1,0.5462022423744202,0.8902438879013062
0529_model13,A,5,0.7949740886688232,0.9465478658676147
0529_model13,A,7,1.0184470415115356,0.9419642686843872
0529_model13,A,3,0.5807557106018066,0.9322222471237184
0529_model13,A,11,0.8502299189567566,0.9282511472702026
0529_model13,A,9,1.0537359714508057,0.9306487441062928
0529_model13,NA,1,0.4380307793617248,0.9223946928977966
0529_model13,NA,5,0.6174154877662659,0.9510022401809692
0529_model13,NA,7,0.6508926749229431,0.921875
0529_model13,NA,3,0.6177819967269897,0.9444444179534912
0529_model13,NA,11,0.5704501867294312,0.9271300435066224
0529_model13,NA,9,0.8553284406661987,0.9172259569168092
0529_model14,A,1,0.6636972427368164,0.944567621
0529_model14,A,5,0.6376367211341858,0.948775053
0529_model14,A,7,0.8300467133522034,0.9375
0529_model14,A,3,0.6624365448951721,0.9411110877990724
0529_model14,A,11,0.989895999,0.9293721914291382
0529_model14,A,9,0.7469599843025208,0.9127516746520996
0529_model14,NA,1,0.7608060836791992,0.7860310673713684
0529_model14,NA,5,0.4709983468055725,0.9510022401809692
0529_model14,NA,7,0.6279783844947815,0.9363839030265808
0529_model14,NA,3,0.3251524269580841,0.953333318
0529_model14,NA,11,0.830671489,0.92600894
0529_model14,NA,9,0.7233589887619019,0.9060402512550354
0529_model15,A,1,0.4662711322307586,0.9423503279685974
0529_model15,A,5,0.5696521997451782,0.9476614594459534
0529_model15,A,7,1.023602009,0.9241071343421936
0529_model15,A,3,0.4933887422084808,0.9411110877990724
0529_model15,A,11,0.7010940909385681,0.9282511472702026
0529_model15,A,9,0.6680067777633667,0.9026845693588256
0529_model15,NA,1,0.5041570067405701,0.9257206320762634
0529_model15,NA,5,0.4594391286373138,0.942093551
0529_model15,NA,7,0.6071239709854126,0.9162946343421936
0529_model15,NA,3,0.330066979,0.9555555582046508
0529_model15,NA,11,0.7162701487541199,0.8811659216880798
0529_model15,NA,9,0.5076505541801453,0.9317673444747924
0529_model16,A,1,0.665236771,0.9146341681480408
0529_model16,A,5,0.6465005278587341,0.9443207383155824
0529_model16,A,7,0.8046867251396179,0.9319196343421936
0529_model16,A,3,0.4622164666652679,0.952222228
0529_model16,A,11,0.6202483177185059,0.937219739
0529_model16,A,9,0.6658853888511658,0.9295302033424376
0529_model16,NA,1,0.4707099199295044,0.9024389982223512
0529_model16,NA,5,0.6648221015930176,0.9131402969360352
0529_model16,NA,7,0.6338552236557007,0.9185267686843872
0529_model16,NA,3,0.532118559,0.8866666555404663
0529_model16,NA,11,0.5511540174484253,0.9215246438980104
0529_model16,NA,9,0.4913282692432403,0.9306487441062928
